Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-06-24,Lawrence of Arabia,1962,https://boxd.it/1WMyod,,,,2021-06-23
2021-06-27,Magnolia,1999,https://boxd.it/1X9WnT,5,,,2021-06-27
2021-07-01,Kung Fu Panda,2008,https://boxd.it/1XE8eJ,,Yes,,2021-06-30
2021-07-01,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/1XGNJR,2,,,2021-07-01
2021-09-05,Pi,1998,https://boxd.it/27inGJ,,,,2021-09-04
2021-09-29,Shiva Baby,2020,https://boxd.it/2ayEJp,,,,2021-09-28
2021-10-11,El Infierno,2010,https://boxd.it/2cjky5,,,,2021-10-10
2021-10-21,Amour,2012,https://boxd.it/2dTnHl,4,,,2021-10-21
2021-10-21,The Many Saints of Newark,2021,https://boxd.it/2dTnN9,1,,,2021-10-21
2021-10-29,First Cow,2019,https://boxd.it/2f9nJn,4,,,2021-10-29
2021-11-02,Eyes Wide Shut,1999,https://boxd.it/2fN9JD,,,,2021-11-01
2021-11-02,Dune,2021,https://boxd.it/2fSaup,,,,2021-11-01
2021-11-13,We Need to Talk About Kevin,2011,https://boxd.it/2hy7GP,,,,2021-11-13
2021-11-14,Swiss Army Man,2016,https://boxd.it/2hKexp,,,,2021-11-14
2021-11-28,Punch-Drunk Love,2002,https://boxd.it/2jSxSl,,,,2021-11-27
2021-12-10,Last Night in Soho,2021,https://boxd.it/2lCxFx,4,,,2021-12-09
2021-12-13,The Father,2020,https://boxd.it/2m6o8z,5,,,2021-12-12
2021-12-14,"tick, tick...BOOM!",2021,https://boxd.it/2mgqep,3.5,,,2021-12-13
2021-12-15,The Power of the Dog,2021,https://boxd.it/2mo6p9,3,,,2021-12-14
2021-12-15,A Cop Movie,2021,https://boxd.it/2mqcMR,3,,,2021-12-15
2021-12-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/2mzfTp,4.5,,,2021-12-16
2021-12-19,Into the Wild,2007,https://boxd.it/2n7mg3,3.5,,,2021-12-19
2021-12-20,The French Dispatch,2021,https://boxd.it/2njS1N,4.5,,,2021-12-19
2021-12-21,The Matrix,1999,https://boxd.it/2nvQUv,,,,2021-12-20
2021-12-22,The Wrestler,2008,https://boxd.it/2nHzSB,4,,,2021-12-21
2021-12-25,The Matrix Reloaded,2003,https://boxd.it/2oiWZ5,3,,,2021-12-24
2021-12-27,Spider-Man: No Way Home,2021,https://boxd.it/2oSlgp,3,,,2021-12-26
2021-12-29,The Green Knight,2021,https://boxd.it/2pouhZ,4.5,,,2021-12-28
2021-12-31,C'mon C'mon,2021,https://boxd.it/2pSyzj,5,,,2021-12-30
2022-01-03,Bo Burnham: Inside,2021,https://boxd.it/2qJCTj,3,,,2022-01-02
2022-01-04,Don't Look Up,2021,https://boxd.it/2r35bD,3,,,2022-01-03
2022-01-07,Encanto,2021,https://boxd.it/2rMuJv,3,,,2022-01-06
2022-01-08,Nobody,2021,https://boxd.it/2s5MVx,1.5,,,2022-01-07
2022-01-09,Paddleton,2019,https://boxd.it/2sjt1N,4.5,,,2022-01-08
2022-01-09,Portrait of a Lady on Fire,2019,https://boxd.it/2sqhtz,,,,2022-01-09
2022-01-18,The House,2022,https://boxd.it/2uJMGZ,,,,2022-01-17
2022-01-19,Brother Bear,2003,https://boxd.it/2uSrcd,,,,2022-01-18
2022-01-23,The Darjeeling Limited,2007,https://boxd.it/2vHHzT,3.5,,,2022-01-22
2022-01-23,Blue Valentine,2010,https://boxd.it/2vMOnP,2,,,2022-01-23
2022-01-24,Hilda and the Mountain King,2021,https://boxd.it/2vVySF,,,,2022-01-23
2022-01-24,Eighth Grade,2018,https://boxd.it/2vYoG1,3.5,,,2022-01-23
2022-01-24,Anima,2019,https://boxd.it/2w0Zvt,,,,2022-01-23
2022-01-25,Incendies,2010,https://boxd.it/2waEuT,5,,,2022-01-24
2022-01-27,Eternals,2021,https://boxd.it/2wyKu9,,,,2022-01-26
2022-01-29,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2wSrzJ,,,,2022-01-28
2022-01-31,Tangerine,2015,https://boxd.it/2xnwYV,,,,2022-01-30
2022-02-02,Polytechnique,2009,https://boxd.it/2xJovF,5,,,2022-02-01
2022-02-08,Inherent Vice,2014,https://boxd.it/2yS1w3,3,,,2022-02-07
2022-02-09,Inside Llewyn Davis,2013,https://boxd.it/2z1BTF,,,,2022-02-08
2022-02-10,Nightmare Alley,2021,https://boxd.it/2zd2eL,4.5,,,2022-02-09
2022-02-13,The King's Man,2021,https://boxd.it/2zLtbH,,,,2022-02-12
2022-02-14,CODA,2021,https://boxd.it/2zUI9J,4,,,2022-02-13
2022-02-14,Titane,2021,https://boxd.it/2zXbZ9,,,,2022-02-13
2022-02-15,Her,2013,https://boxd.it/2A8Y1J,4.5,,,2022-02-14
2022-02-17,The Worst Person in the World,2021,https://boxd.it/2Ato4p,5,,,2022-02-16
2022-02-19,Parallel Mothers,2021,https://boxd.it/2APTWB,,,,2022-02-18
2022-02-20,Flee,2021,https://boxd.it/2B3YJ1,4.5,,,2022-02-19
2022-02-22,Prayers for the Stolen,2021,https://boxd.it/2Bu2xZ,4.5,,,2022-02-21
2022-02-23,Hard Eight,1996,https://boxd.it/2BEJRt,,,,2022-02-22
2022-02-24,Oldboy,2003,https://boxd.it/2BOFnJ,,,,2022-02-23
2022-02-28,Come and See,1985,https://boxd.it/2CtcOX,5,,,2022-02-27
2022-02-28,Spencer,2021,https://boxd.it/2CuB8J,4,,,2022-02-27
2022-03-02,Identifying Features,2020,https://boxd.it/2COTZV,4.5,,,2022-03-01
2022-03-05,Drive My Car,2021,https://boxd.it/2DkSJB,5,,,2022-03-04
2022-03-06,Licorice Pizza,2021,https://boxd.it/2Dyjjh,4,,,2022-03-05
2022-03-12,Turning Red,2022,https://boxd.it/2EDNnR,,,,2022-03-11
2022-03-13,The Hand of God,2021,https://boxd.it/2ERtet,,,,2022-03-12
2022-03-14,Red Rocket,2021,https://boxd.it/2F8NoR,,,,2022-03-13
2022-03-18,Pride & Prejudice,2005,https://boxd.it/2FNQM5,2.5,,,2022-03-17
2022-03-19,The Adam Project,2022,https://boxd.it/2FZCmL,,,,2022-03-18
2022-03-20,The Batman,2022,https://boxd.it/2GbPnB,,,,2022-03-19
2022-03-21,Annihilation,2018,https://boxd.it/2GrrSR,4,,,2022-03-20
2022-03-22,Ex Machina,2014,https://boxd.it/2GDBUd,5,,,2022-03-22
2022-03-25,Chinatown,1974,https://boxd.it/2H9qqb,,,,2022-03-24
2022-03-27,Children of Men,2006,https://boxd.it/2Hx6p1,5,,,2022-03-26
2022-04-01,After Yang,2021,https://boxd.it/2In5Gp,4.5,,,2022-03-31
2022-04-01,The Windshield Wiper,2021,https://boxd.it/2InlI7,5,,,2022-03-31
2022-04-02,It Comes at Night,2017,https://boxd.it/2IyOzv,,,,2022-04-01
2022-04-08,Chungking Express,1994,https://boxd.it/2JB1oj,4.5,,,2022-04-07
2022-04-10,Casino Royale,2006,https://boxd.it/2JYwKL,3,,,2022-04-10
2022-04-11,The Death of Dick Long,2019,https://boxd.it/2KcoNv,2,,,2022-04-11
2022-04-13,Army of Thieves,2021,https://boxd.it/2KwI3H,2.5,,,2022-04-12
2022-04-14,Shutter Island,2010,https://boxd.it/2KGNdR,3.5,,,2022-04-13
2022-05-10,5 Centimeters per Second,2007,https://boxd.it/2PnD9H,,,,2022-05-09
2022-05-11,The Girl with the Dragon Tattoo,2011,https://boxd.it/2PwDid,3,,,2022-05-10
2022-05-26,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/2ScGkX,3,,,2022-05-25
2022-05-30,Everything Everywhere All at Once,2022,https://boxd.it/2SWKgd,4.5,,,2022-05-29
2022-06-04,Wolfwalkers,2020,https://boxd.it/2TKIm9,5,,,2022-06-03
2022-06-14,Sonic the Hedgehog,2020,https://boxd.it/2VxBDz,3,,,2022-06-13
2022-06-19,Everything Everywhere All at Once,2022,https://boxd.it/2WmCwV,4,Yes,,2022-06-17
2022-06-19,Ponyo,2008,https://boxd.it/2WuLfZ,4,,,2022-06-19
2022-06-21,Jungle Cruise,2021,https://boxd.it/2WVtRZ,3.5,,,2022-06-21
2022-06-22,"Paris, Texas",1984,https://boxd.it/2X2QLf,4.5,,,2022-06-21
2022-06-26,The Summit of the Gods,2021,https://boxd.it/2XMrIx,3.5,,,2022-06-25
2022-06-26,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2XNU6p,3.5,,,2022-06-25
2022-06-27,The Northman,2022,https://boxd.it/2XYSFp,4.5,,,2022-06-26
2022-06-27,"O Brother, Where Art Thou?",2000,https://boxd.it/2Y1lVb,2,,,2022-06-26
2022-06-29,Beautiful Boy,2018,https://boxd.it/2YkULX,3.5,,,2022-06-28
2022-06-30,Chef,2014,https://boxd.it/2YAbWX,2,,,2022-06-29
2022-07-04,Top Gun: Maverick,2022,https://boxd.it/2Zibhj,4,,,2022-07-03
2022-07-04,Free Solo,2018,https://boxd.it/2Zlirr,3.5,,,2022-07-04
2022-07-08,Memoirs of a Geisha,2005,https://boxd.it/303oYp,2,,,2022-07-07
2022-07-12,The Sea Beast,2022,https://boxd.it/30PqCr,4,,,2022-07-11
2022-07-12,Shrek,2001,https://boxd.it/30S1pj,,,,2022-07-11
2022-07-12,Nocturnal Animals,2016,https://boxd.it/30WpXn,4,,,2022-07-12
2022-07-13,Ron's Gone Wrong,2021,https://boxd.it/312KwJ,4.5,,,2022-07-12
2022-07-14,My Life as a Zucchini,2016,https://boxd.it/31eoC5,5,,,2022-07-13
2022-07-17,Gran Torino,2008,https://boxd.it/31U8oZ,2.5,,,2022-07-17
2022-07-18,21 Grams,2003,https://boxd.it/3283Dj,4.5,,,2022-07-17
2022-07-18,You've Got Mail,1998,https://boxd.it/329mwj,2.5,,,2022-07-18
2022-07-19,Robots,2005,https://boxd.it/32iZZR,3,,,2022-07-18
2022-07-20,A Goofy Movie,1995,https://boxd.it/32tJdT,,,,2022-07-19
2022-07-20,The Hurt Locker,2008,https://boxd.it/32x7AX,2,,,2022-07-20
2022-07-21,A Ghost Story,2017,https://boxd.it/32IapP,5,,,2022-07-21
2022-07-22,Lightyear,2022,https://boxd.it/32PjHR,4,,,2022-07-21
2022-07-22,Mean Girls,2004,https://boxd.it/32THPN,2,,,2022-07-22
2022-07-25,RRR,2022,https://boxd.it/33vwfl,4.5,,,2022-07-24
2022-07-26,Reservoir Dogs,1992,https://boxd.it/33NL0V,,,,2022-07-26
2022-07-26,Moonlight,2016,https://boxd.it/33OJfL,3.5,,,2022-07-26
2022-07-28,Fallen Angels,1995,https://boxd.it/34unH3,,,,2022-07-28
2022-07-30,The Gray Man,2022,https://boxd.it/34SuTj,2.5,,,2022-07-30
2022-08-12,Victoria,2015,https://boxd.it/37BOd1,4.5,,,2022-08-11
2022-08-19,"Oslo, August 31st",2011,https://boxd.it/393MwZ,4,,,2022-08-18
2022-08-25,Being John Malkovich,1999,https://boxd.it/3aaQE7,4,,,2022-08-24
2022-08-25,Y Tu Mamá También,2001,https://boxd.it/3aeu4p,4,,,2022-08-24
2022-09-07,Memoria,2021,https://boxd.it/3cCAOp,3.5,,,2022-09-06
2022-09-07,Nope,2022,https://boxd.it/3cFqcB,4.5,,,2022-09-06
2022-09-18,Magnolia,1999,https://boxd.it/3eGCZv,5,Yes,,2022-09-18
2022-09-21,Thor: Love and Thunder,2022,https://boxd.it/3ffvsz,3.5,,,2022-09-20
2022-09-24,Us,2019,https://boxd.it/3fP9TF,4.5,,,2022-09-23
2022-10-09,Do Revenge,2022,https://boxd.it/3iYpm3,2.5,,,2022-10-08
2022-10-13,Entergalactic,2022,https://boxd.it/3jPWjn,3,,,2022-10-12
2022-10-16,Sinister,2012,https://boxd.it/3kvDuv,3.5,,,2022-10-16
2022-11-02,Werewolf by Night,2022,https://boxd.it/3o4wnz,3.5,,,2022-11-01
2022-11-03,Enchanted,2007,https://boxd.it/3okGRL,3.5,,,2022-11-02
2022-11-05,Casablanca,1942,https://boxd.it/3oLphb,4,,,2022-11-05
2022-11-07,Enola Holmes 2,2022,https://boxd.it/3p9lWn,4,,,2022-11-06
